posting_year,country,region,industry,seniority_level,risk_category,avg_salary_usd,median_salary_usd,avg_ai_intensity,avg_automation_risk,avg_displacement_risk,job_count,pct_ai_mentioned,unique_job_titles
2010,Colombia,South America,Tech,Lead,LOW,,,0.02,,,1,0.0,1
2010,Egypt,Africa,Energy,Lead,LOW,0.92,0.92,,,,1,100.0,1
2010,Egypt,Africa,Healthcare,Mid,LOW,,,,,,1,100.0,1
2010,Egypt,Africa,Retail,Lead,LOW,,,0.01,,16767.0,1,0.0,1
2010,France,Europe,Energy,Executive,LOW,,,0.05,,-0.53,1,0.0,1
2010,France,Europe,Finance,Lead,HIGH,,,0.17,61008.0,0.68,1,0.0,1
2010,France,Europe,Manufacturing,Junior,HIGH,,,0.07,59689.0,0.82,1,0.0,1
2010,France,Europe,Manufacturing,Lead,LOW,,,0.11,,4.05,1,0.0,1
2010,France,Europe,Retail,Executive,LOW,,,0.11,,-0.08,1,0.0,1
2010,France,Europe,Tech,Junior,LOW,,,0.1,,-0.66,1,0.0,1
2010,Germany,Europe,Government,Intern,LOW,,,0.11,,0.4,1,0.0,1
2010,Germany,Europe,Tech,Mid,HIGH,,,0.11,56538.0,0.77,1,0.0,1
2010,Ghana,Africa,Agriculture,Intern,LOW,,,0.09,,15610.0,1,0.0,1
2010,Ghana,Africa,Education,Mid,LOW,,,0.1,,,1,0.0,1
2010,Ghana,Africa,Finance,Mid,HIGH,,,0.0,15896.0,0.66,1,0.0,1
2010,Ghana,Africa,Government,Mid,HIGH,,,0.06,18927.0,0.83,1,0.0,1
2010,Ghana,Africa,Government,Senior,LOW,,,0.05,,19293.0,1,0.0,1
2010,Ghana,Africa,Healthcare,Intern,LOW,,,0.13,,16927.0,1,0.0,1
2010,Ghana,Africa,Healthcare,Junior,HIGH,,,0.18,18948.0,0.66,1,0.0,1
2010,Ghana,Africa,Manufacturing,Executive,LOW,,,0.11,,,1,0.0,1
2010,Ghana,Africa,Tech,Lead,HIGH,,,0.07,15645.0,0.69,1,0.0,1
2010,India,South Asia,Education,Executive,LOW,,,0.13,,3.67,1,0.0,1
2010,India,South Asia,Education,Mid,LOW,,,0.07,,20676.0,1,0.0,1
2010,India,South Asia,Energy,Executive,LOW,,,0.01,,19730.0,1,0.0,1
2010,India,South Asia,Finance,Intern,LOW,,,0.02,,,1,0.0,1
2010,India,South Asia,Government,Intern,LOW,,,0.01,,1.98,1,0.0,1
2010,India,South Asia,Government,Junior,LOW,,,0.08,,-3.09,1,0.0,1
2010,India,South Asia,Government,Senior,LOW,0.89,0.89,,,,1,100.0,1
2010,India,South Asia,Healthcare,Executive,LOW,,,0.13,,21454.0,1,0.0,1
2010,India,South Asia,Manufacturing,Senior,HIGH,,,0.13,17654.0,0.84,1,0.0,1
2010,India,South Asia,Retail,Executive,LOW,,,0.13,,9948.64,2,0.0,2
2010,India,South Asia,Tech,Executive,LOW,,,,,,1,100.0,1
2010,Indonesia,Southeast Asia,Agriculture,Lead,LOW,,,0.05,,-2.1,1,0.0,1
2010,Indonesia,Southeast Asia,Energy,Junior,LOW,,,0.01,,,1,0.0,1
2010,Indonesia,Southeast Asia,Finance,Junior,HIGH,,,0.11,26102.0,0.8,1,0.0,1
2010,Indonesia,Southeast Asia,Government,Mid,HIGH,,,0.06,34089.0,0.87,1,0.0,1
2010,Indonesia,Southeast Asia,Manufacturing,Executive,LOW,,,0.05,,27656.0,1,0.0,1
2010,Indonesia,Southeast Asia,Retail,Executive,HIGH,,,0.04,34344.0,0.63,1,0.0,1
2010,Indonesia,Southeast Asia,Tech,Junior,LOW,,,0.71,,41824.0,1,100.0,1
2010,Israel,Middle East,Finance,Intern,LOW,0.42,0.42,0.02,,51928.0,2,50.0,2
2010,Israel,Middle East,Government,Executive,LOW,,,0.09,,54489.0,1,0.0,1
2010,Israel,Middle East,Government,Lead,LOW,,,0.17,,55252.0,1,0.0,1
2010,Israel,Middle East,Healthcare,Lead,HIGH,,,0.08,52106.0,0.9,1,0.0,1
2010,Israel,Middle East,Retail,Senior,LOW,,,0.69,,61786.0,1,100.0,1
2010,Israel,Middle East,Tech,Executive,LOW,0.49,0.49,,,,1,100.0,1
2010,Italy,Europe,Agriculture,Intern,LOW,,,0.1,,,1,0.0,1
2010,Italy,Europe,Agriculture,Lead,LOW,,,0.19,,60960.0,1,0.0,1
2010,Italy,Europe,Energy,Mid,LOW,,,0.07,,,1,0.0,1
2010,Italy,Europe,Government,Intern,HIGH,,,0.08,63343.0,0.83,1,0.0,1
2010,Italy,Europe,Government,Intern,LOW,,,0.17,,1.32,1,0.0,1
2010,Italy,Europe,Healthcare,Mid,HIGH,,,0.05,62214.0,0.62,1,0.0,1
2010,Italy,Europe,Manufacturing,Junior,LOW,,,0.08,,64032.0,1,0.0,1
2010,Italy,Europe,Retail,Executive,LOW,,,0.03,,62654.0,1,0.0,1
2010,Japan,East Asia,Agriculture,Senior,LOW,,,0.16,,,1,0.0,1
2010,Japan,East Asia,Energy,Executive,LOW,,,0.14,,2.8,1,0.0,1
2010,Japan,East Asia,Energy,Lead,LOW,,,,,,1,100.0,1
2010,Japan,East Asia,Healthcare,Executive,LOW,,,0.07,,-4.82,1,0.0,1
2010,Japan,East Asia,Healthcare,Mid,HIGH,,,0.12,57549.0,0.86,1,0.0,1
2010,Japan,East Asia,Manufacturing,Mid,LOW,,,0.02,,-3.55,1,0.0,1
2010,Japan,East Asia,Retail,Junior,LOW,,,0.05,,,1,0.0,1
2010,Japan,East Asia,Tech,Intern,HIGH,,,0.17,59570.0,0.82,1,0.0,1
2010,Jordan,Middle East,Education,Mid,LOW,,,0.01,,51617.0,1,0.0,1
2010,Jordan,Middle East,Energy,Executive,LOW,,,0.13,,-3.76,1,0.0,1
2010,Jordan,Middle East,Finance,Mid,LOW,,,0.06,,,1,0.0,1
2010,Jordan,Middle East,Government,Senior,LOW,,,0.13,,-4.64,1,0.0,1
2010,Jordan,Middle East,Healthcare,Mid,LOW,,,0.12,,-4.58,1,0.0,1
2010,Jordan,Middle East,Manufacturing,Intern,LOW,,,0.02,,-2.97,1,0.0,1
2010,Jordan,Middle East,Manufacturing,Senior,LOW,,,0.15,,47671.0,1,0.0,1
2010,Kenya,Africa,Education,Junior,LOW,,,0.1,,,1,0.0,1
2010,Kenya,Africa,Healthcare,Junior,LOW,,,0.14,,,1,0.0,1
2010,Kenya,Africa,Retail,Lead,LOW,,,0.81,,1.34,1,100.0,1
2010,Kenya,Africa,Tech,Junior,LOW,,,0.1,,,1,0.0,1
2010,Kenya,Africa,Tech,Mid,LOW,,,0.02,,18055.0,1,0.0,1
2010,Malaysia,Southeast Asia,Agriculture,Mid,LOW,,,0.05,,,1,0.0,1
2010,Malaysia,Southeast Asia,Education,Lead,LOW,,,0.18,,31017.0,1,0.0,1
2010,Malaysia,Southeast Asia,Finance,Executive,LOW,0.55,0.55,,,,1,100.0,1
2010,Malaysia,Southeast Asia,Government,Intern,LOW,,,0.14,,,1,0.0,1
2010,Malaysia,Southeast Asia,Healthcare,Executive,HIGH,,,0.08,30309.0,0.75,1,0.0,1
2010,Malaysia,Southeast Asia,Healthcare,Executive,LOW,,,0.09,,26698.0,1,0.0,1
2010,Malaysia,Southeast Asia,Healthcare,Senior,LOW,,,0.17,,30324.0,1,0.0,1
2010,Malaysia,Southeast Asia,Manufacturing,Executive,LOW,,,0.09,,,1,0.0,1
2010,Malaysia,Southeast Asia,Tech,Junior,HIGH,,,0.16,33432.0,0.68,1,0.0,1
2010,Malaysia,Southeast Asia,Tech,Senior,LOW,,,0.01,,0.73,1,0.0,1
2010,Mexico,North America,Agriculture,Junior,LOW,,,0.01,,,1,0.0,1
2010,Mexico,North America,Agriculture,Mid,LOW,,,0.06,,65487.5,2,0.0,2
2010,Mexico,North America,Agriculture,Senior,HIGH,,,0.15,69179.0,0.81,1,0.0,1
2010,Mexico,North America,Energy,Mid,LOW,,,0.05,,-1.15,1,0.0,1
2010,Mexico,North America,Finance,Junior,HIGH,,,0.19,79356.0,0.79,1,0.0,1
2010,Mexico,North America,Government,Intern,LOW,,,0.1,,3.75,1,0.0,1
2010,Mexico,North America,Government,Mid,HIGH,,,0.02,75400.0,0.7,1,0.0,1
2010,Mexico,North America,Government,Senior,HIGH,,,0.2,70687.0,0.8,1,0.0,1
2010,Mexico,North America,Healthcare,Mid,HIGH,,,0.16,60941.0,0.81,1,0.0,1
2010,Mexico,North America,Retail,Mid,LOW,,,0.2,,0.23,1,0.0,1
2010,Mexico,North America,Tech,Intern,LOW,,,0.06,,,1,0.0,1
2010,Mexico,North America,Tech,Junior,LOW,,,0.73,,,1,100.0,1
2010,Mexico,North America,Tech,Lead,LOW,,,0.01,,0.63,1,0.0,1
2010,Morocco,Africa,Agriculture,Executive,HIGH,,,0.14,19577.0,0.79,1,0.0,1
2010,Morocco,Africa,Energy,Executive,LOW,,,0.05,,4.51,1,0.0,1
2010,Morocco,Africa,Finance,Intern,LOW,,,0.13,,18749.0,1,0.0,1
2010,Morocco,Africa,Finance,Mid,LOW,,,0.14,,3.85,1,0.0,1
2010,Morocco,Africa,Healthcare,Executive,LOW,,,0.13,,,1,0.0,1
2010,Morocco,Africa,Healthcare,Intern,LOW,,,0.19,,,1,0.0,1
2010,Morocco,Africa,Manufacturing,Lead,HIGH,,,0.05,20289.0,0.66,1,0.0,1
2010,Nepal,South Asia,Energy,Junior,LOW,,,0.03,,18127.0,1,0.0,1
2010,Nepal,South Asia,Manufacturing,Executive,LOW,,,0.19,,,1,0.0,1
2010,Nepal,South Asia,Manufacturing,Lead,LOW,,,0.14,,19656.0,1,0.0,1
2010,Netherlands,Europe,Agriculture,Intern,LOW,,,0.05,,,1,0.0,1
2010,Netherlands,Europe,Education,Mid,LOW,,,0.16,,,1,0.0,1
2010,Netherlands,Europe,Finance,Executive,LOW,,,,,,1,100.0,1
2010,Netherlands,Europe,Finance,Junior,LOW,0.7,0.7,,,,1,100.0,1
2010,Netherlands,Europe,Finance,Senior,LOW,,,0.09,,-3.06,3,0.0,3
2010,Netherlands,Europe,Retail,Mid,LOW,,,0.09,,60402.0,1,0.0,1
2010,New Zealand,Oceania,Agriculture,Intern,LOW,,,0.05,,-1.97,1,0.0,1
2010,New Zealand,Oceania,Education,Executive,LOW,,,0.01,,68252.0,1,0.0,1
2010,New Zealand,Oceania,Education,Intern,HIGH,,,0.14,62917.0,0.78,1,0.0,1
2010,New Zealand,Oceania,Energy,Junior,LOW,,,0.08,,1.23,1,0.0,1
2010,New Zealand,Oceania,Finance,Junior,LOW,,,0.16,,,1,0.0,1
2010,New Zealand,Oceania,Finance,Lead,LOW,,,0.075,,34083.575,2,0.0,2
2010,New Zealand,Oceania,Finance,Senior,HIGH,,,0.14,68597.0,0.62,1,0.0,1
2010,New Zealand,Oceania,Government,Executive,LOW,,,0.12,,,1,0.0,1
2010,New Zealand,Oceania,Healthcare,Junior,LOW,,,0.04,,,1,0.0,1
2010,New Zealand,Oceania,Manufacturing,Intern,HIGH,,,0.11,61679.0,0.66,1,0.0,1
2010,New Zealand,Oceania,Manufacturing,Mid,HIGH,,,0.0,61784.0,0.86,1,0.0,1
2010,New Zealand,Oceania,Retail,Intern,LOW,,,0.1,,64073.0,1,0.0,1
2010,New Zealand,Oceania,Tech,Senior,LOW,,,,,,1,100.0,1
2010,Nigeria,Africa,Finance,Junior,LOW,,,0.04,,18325.0,1,0.0,1
2010,Nigeria,Africa,Government,Executive,LOW,,,0.53,,0.8,1,100.0,1
2010,Nigeria,Africa,Manufacturing,Executive,LOW,,,,,,1,100.0,1
2010,Nigeria,Africa,Manufacturing,Intern,LOW,,,0.1,,19691.0,1,0.0,1
2010,Nigeria,Africa,Manufacturing,Senior,LOW,,,0.03,,,1,0.0,1
2010,Nigeria,Africa,Tech,Intern,LOW,,,,,,1,100.0,1
2010,Nigeria,Africa,Tech,Mid,LOW,,,0.63,,26214.0,1,100.0,1
2010,Pakistan,South Asia,Government,Junior,LOW,,,0.17,,,1,0.0,1
2010,Pakistan,South Asia,Manufacturing,Executive,LOW,0.74,0.74,,,,1,100.0,1
2010,Pakistan,South Asia,Manufacturing,Lead,LOW,,,0.11,,21791.0,1,0.0,1
2010,Pakistan,South Asia,Tech,Lead,LOW,,,0.02,,22568.0,1,0.0,1
2010,Peru,South America,Agriculture,Mid,LOW,,,0.16,,,1,0.0,1
2010,Peru,South America,Energy,Intern,HIGH,,,0.06,39661.0,0.76,1,0.0,1
2010,Peru,South America,Government,Senior,LOW,,,0.18,,,1,0.0,1
2010,Peru,South America,Manufacturing,Junior,LOW,,,0.19,,39247.0,1,0.0,1
2010,Peru,South America,Manufacturing,Senior,LOW,,,0.15,,39247.0,1,0.0,1
2010,Philippines,Southeast Asia,Education,Senior,LOW,,,0.18,,,1,0.0,1
2010,Philippines,Southeast Asia,Finance,Intern,LOW,,,0.1,,-0.67,1,0.0,1
2010,Philippines,Southeast Asia,Healthcare,Junior,LOW,,,0.05,,-4.96,1,0.0,1
2010,Philippines,Southeast Asia,Healthcare,Lead,LOW,,,0.16,,27684.0,1,0.0,1
2010,Poland,Europe,Energy,Junior,LOW,,,0.11,,-0.78,1,0.0,1
2010,Poland,Europe,Finance,Intern,LOW,,,,,,1,100.0,1
2010,Poland,Europe,Government,Intern,LOW,,,0.19,,,1,0.0,1
2010,Poland,Europe,Healthcare,Lead,LOW,,,0.15,,2.16,1,0.0,1
2010,Poland,Europe,Manufacturing,Senior,LOW,,,0.17,,,1,0.0,1
2010,Poland,Europe,Tech,Junior,HIGH,,,0.62,83397.0,0.15,1,100.0,1
2010,Qatar,Middle East,Agriculture,Executive,LOW,,,0.05,,46999.0,1,0.0,1
2010,Qatar,Middle East,Agriculture,Intern,LOW,,,0.15,,,1,0.0,1
2010,Qatar,Middle East,Education,Mid,HIGH,,,0.08,45748.0,0.69,1,0.0,1
2010,Qatar,Middle East,Education,Senior,LOW,,,0.08,,,1,0.0,1
2010,Qatar,Middle East,Energy,Executive,LOW,,,0.0,,43471.0,1,0.0,1
2010,Qatar,Middle East,Government,Junior,HIGH,,,0.17,54702.0,0.8,1,0.0,1
2010,Qatar,Middle East,Government,Junior,LOW,,,,,,1,100.0,1
2010,Qatar,Middle East,Government,Lead,LOW,,,0.03,,53083.0,1,0.0,1
2010,Qatar,Middle East,Manufacturing,Mid,LOW,,,0.1,,,1,0.0,1
2010,Saudi Arabia,Middle East,Education,Executive,LOW,,,0.1,,53073.0,1,0.0,1
2010,Saudi Arabia,Middle East,Energy,Junior,HIGH,,,0.01,46214.0,0.71,1,0.0,1
2010,Saudi Arabia,Middle East,Energy,Lead,LOW,,,0.12,,56010.0,1,0.0,1
2010,Saudi Arabia,Middle East,Healthcare,Senior,LOW,,,0.01,,-3.13,1,0.0,1
2010,Singapore,Southeast Asia,Agriculture,Executive,HIGH,,,0.13,29034.0,0.85,1,0.0,1
2010,Singapore,Southeast Asia,Agriculture,Senior,LOW,,,,,,1,100.0,1
2010,Singapore,Southeast Asia,Education,Intern,LOW,,,0.05,,,1,0.0,1
2010,Singapore,Southeast Asia,Government,Senior,LOW,,,0.12,,,1,0.0,1
2010,South Africa,Africa,Healthcare,Mid,LOW,,,0.06,,19062.0,1,0.0,1
2010,South Africa,Africa,Retail,Lead,HIGH,,,0.1,16089.0,0.7,1,0.0,1
2010,South Korea,East Asia,Agriculture,Senior,LOW,,,0.1,,,1,0.0,1
2010,South Korea,East Asia,Energy,Mid,LOW,,,0.15,,4.11,1,0.0,1
2010,South Korea,East Asia,Finance,Senior,LOW,,,0.02,,,1,0.0,1
2010,South Korea,East Asia,Healthcare,Junior,HIGH,,,0.01,59976.0,0.67,1,0.0,1
2010,South Korea,East Asia,Manufacturing,Junior,HIGH,,,0.06,50304.0,0.61,1,0.0,1
2010,South Korea,East Asia,Manufacturing,Lead,LOW,,,0.0,,1.48,1,0.0,1
2010,South Korea,East Asia,Manufacturing,Senior,LOW,,,0.05,,,1,0.0,1
2010,South Korea,East Asia,Retail,Executive,LOW,,,0.1,,,1,0.0,1
2010,South Korea,East Asia,Tech,Executive,HIGH,,,0.12,51458.0,0.67,1,0.0,1
2010,South Korea,East Asia,Tech,Lead,HIGH,,,0.16,59394.0,0.71,1,0.0,1
2010,Spain,Europe,Finance,Intern,LOW,,,0.19,,54179.0,1,0.0,1
2010,Sri Lanka,South Asia,Agriculture,Intern,LOW,,,0.08,,,1,0.0,1
2010,Sri Lanka,South Asia,Agriculture,Junior,LOW,,,0.05,,19472.0,1,0.0,1
2010,Sri Lanka,South Asia,Agriculture,Lead,HIGH,,,0.12,21082.0,0.65,1,0.0,1
2010,Sri Lanka,South Asia,Government,Senior,HIGH,,,0.91,32185.0,0.23,1,100.0,1
2010,Sri Lanka,South Asia,Healthcare,Junior,LOW,,,0.12,,0.91,1,0.0,1
2010,Sri Lanka,South Asia,Manufacturing,Junior,LOW,,,0.02,,22406.0,1,0.0,1
2010,Sri Lanka,South Asia,Tech,Lead,LOW,,,0.18,,,2,0.0,2
2010,Sweden,Europe,Agriculture,Mid,LOW,,,0.06,,65891.0,1,0.0,1
2010,Sweden,Europe,Retail,Lead,HIGH,,,0.18,51565.0,0.89,1,0.0,1
2010,Sweden,Europe,Tech,Intern,LOW,,,,,,1,100.0,1
2010,Taiwan,East Asia,Education,Mid,HIGH,,,0.16,48966.0,0.89,1,0.0,1
2010,Taiwan,East Asia,Energy,Junior,LOW,,,0.1,,46925.0,1,0.0,1
2010,Taiwan,East Asia,Energy,Lead,LOW,,,0.12,,60272.0,1,0.0,1
2010,Taiwan,East Asia,Finance,Executive,LOW,,,0.15,,59815.0,1,0.0,1
2010,Taiwan,East Asia,Finance,Lead,LOW,,,0.03,,,1,0.0,1
2010,Taiwan,East Asia,Government,Executive,LOW,,,0.145,,50265.5,2,0.0,2
2010,Taiwan,East Asia,Government,Junior,LOW,,,0.05,,,1,0.0,1
2010,Taiwan,East Asia,Government,Mid,LOW,,,0.15,,53570.0,1,0.0,1
2010,Taiwan,East Asia,Healthcare,Intern,LOW,,,0.07,,49995.0,1,0.0,1
2010,Taiwan,East Asia,Retail,Executive,LOW,,,0.1,,2.57,2,0.0,2
2010,Thailand,Southeast Asia,Agriculture,Junior,LOW,,,0.02,,28902.0,1,0.0,1
2010,Thailand,Southeast Asia,Education,Junior,LOW,,,0.04,,-4.61,1,0.0,1
2010,Thailand,Southeast Asia,Energy,Intern,HIGH,,,0.02,30652.0,0.8,1,0.0,1
2010,Thailand,Southeast Asia,Energy,Junior,LOW,,,0.04,,0.23,1,0.0,1
2010,Thailand,Southeast Asia,Manufacturing,Lead,LOW,,,0.06,,,1,0.0,1
2010,Thailand,Southeast Asia,Retail,Junior,HIGH,,,0.16,33994.0,0.61,1,0.0,1
2010,UAE,Middle East,Agriculture,Junior,LOW,,,0.18,,2.77,1,0.0,1
2010,UAE,Middle East,Agriculture,Senior,LOW,,,0.07,,,1,0.0,1
2010,UAE,Middle East,Education,Junior,LOW,,,0.08,,,2,0.0,2
2010,UAE,Middle East,Energy,Intern,LOW,,,0.07,,56635.0,1,0.0,1
2010,UAE,Middle East,Healthcare,Intern,LOW,,,0.0,,,1,0.0,1
2010,UAE,Middle East,Healthcare,Junior,HIGH,,,0.08,53320.0,0.74,1,0.0,1
2010,UAE,Middle East,Manufacturing,Intern,LOW,,,0.11,,,1,0.0,1
2010,UAE,Middle East,Tech,Junior,LOW,,,0.09,,,1,0.0,1
2010,United Kingdom,Europe,Agriculture,Mid,LOW,,,0.14,,2.67,1,0.0,1
2010,United Kingdom,Europe,Agriculture,Senior,LOW,,,0.03,,-0.03,1,0.0,1
2010,United Kingdom,Europe,Healthcare,Junior,LOW,,,0.19,,61012.0,1,0.0,1
2010,United Kingdom,Europe,Healthcare,Lead,LOW,,,0.17,,-4.25,1,0.0,1
2010,United Kingdom,Europe,Manufacturing,Mid,LOW,,,0.01,,,1,0.0,1
2010,United Kingdom,Europe,Retail,Senior,LOW,,,0.12,,66579.0,1,0.0,1
2010,United Kingdom,Europe,Tech,Intern,LOW,,,0.15,,,1,0.0,1
2010,United States,North America,Agriculture,Executive,HIGH,,,0.07,78089.0,0.86,1,0.0,1
2010,United States,North America,Agriculture,Executive,LOW,,,0.07,,0.97,1,0.0,1
2010,United States,North America,Agriculture,Intern,LOW,,,0.04,,0.54,1,0.0,1
2010,United States,North America,Education,Junior,LOW,,,0.04,,61230.0,1,0.0,1
2010,United States,North America,Education,Senior,LOW,,,0.01,,70556.0,1,0.0,1
2010,United States,North America,Energy,Intern,LOW,,,0.1,,63767.0,1,0.0,1
2010,United States,North America,Finance,Intern,LOW,,,,,,1,100.0,1
2010,United States,North America,Finance,Junior,LOW,,,,,,1,100.0,1
2010,United States,North America,Government,Executive,LOW,,,0.02,,,1,0.0,1
2010,United States,North America,Government,Junior,LOW,,,0.01,,0.03,1,0.0,1
2010,United States,North America,Healthcare,Junior,LOW,,,0.1,,36533.02,2,0.0,2
2010,United States,North America,Manufacturing,Mid,HIGH,,,0.03,59813.0,0.8,1,0.0,1
2010,United States,North America,Retail,Mid,LOW,,,0.19,,2.62,1,0.0,1
2010,Vietnam,Southeast Asia,Finance,Mid,LOW,,,0.04,,2.89,1,0.0,1
